EPO,0.0277,-0.0705,0.0351,0.0049,1.1998,0.2454,0.2299,0.5043
PMGDA,0.0244,-0.0699,0.0979,0.0203,1.192,0.2754,0.451,0.5399
Agg-LS,0.0002,-0.1468,0.0021,0.0,1.1069,0.1857,13.827,0.7302
Agg-Tche,0.0004,-0.1487,0.0001,0.0,1.098,0.1882,13.8836,0.7397
Agg-mTche,0.0301,-0.0671,0.0333,0.005,1.2054,0.2448,0.7846,0.5029
Agg-COSMOS,0.0235,-0.0959,0.0069,0.001,1.1876,0.2119,2.4504,0.4964
Agg-PBI,0.0081,-0.1191,0.0086,0.0004,1.235,0.1078,31.5662,0.751
HVGrad,0.0544,-0.0461,0.0122,0.005,1.1685,0.2869,9.3876,0.8962
UMOD,0.0491,-0.0547,0.0088,0.0039,1.2033,0.2987,0.5408,0.3179
PMTL,0.0689,0.0063,0.1342,0.0588,1.0063,0.5314,0.6577,1.0188
